Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C14, C15, C17, C18, C29, C3, C38, C39, C5, C6, C9",0805,14,0.1u,C49678
C10,0603,1,0.01u,C57112
C12,0603,1,4.7u,C19666
"C16, C2, C4, C7",0805,4,10u,C15850
"C19, C20, C21, C22, C23, C24, C25, C26",0603,8,4.7n,C883564
"C27, C28",0402,2,270p,C881990
"C30, C31",0805,2,1u,C28323
"C32, C33, C34",0805,3,470p,C1743
"C35, C37",0603,2,6.8n,C1631
C36,0805,1,2.2n,C28260
"C40, C42",0603,2,150p,C1594
C41,0603,1,330p,C1664
"D1, D2",D_SOD-123,2,B5819W SL,C8598
JP3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,GND_Isolation,
"POST_XSTAL, PRE_XSTAL, TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP19, TP2, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP3, TP30, TP31, TP32, TP33, TP34, TP35, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_THTPad_D1.0mm_Drill0.5mm,35,TestPoint,
"R1, R10, R14, R2, R21",0805,5,10k,C17414
"R11, R12, R13, R15, R16, R17, R18, R3, R4, R5, R6",0805,11,0,C17477
"R19, R20",0805,2,5.1k,C27834
"R22, R26",0805,2,47,C17714
R23,0805,1,51,C17738
"R24, R25, R7, R8",0805,4,4.7k,C17673
R9,0805,1,47k,C17713
SW1,SW_Push_1P1T_XKB_TS-1187A,1,SW_Push,C318884
U1,PW14,1,PCM1808PWR,C55513
"U10, U8",MSOP-8_3x3mm_P0.65mm,2,ADA4805-2ARMZ,C208293
U3,DRB0008A-MFG,1,TPS7A8001DRBR,C105265
U4,MSOP-10_3x3mm_P0.5mm,1,Si5351A-B-GT,C5451727
"U5, U6, U7, U9",SOP65P640X120-16N,4,SN74CBT3253,C2674672
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,27Mhz 10pF,C5210645
